Sensor,Vertical Position,Horizontal Position,X,Y,Z
39,0,-2,6593,6736,-14535
39,0,-1,7184,3675,-17079
39,0,1,7355,-4338,-17751
39,0,2,6969,-7105,-16330
39,1,-2,4310,7998,-17261
39,1,-1,4638,4516,-20233
39,1,1,4696,-4576,-21248
39,1,2,4431,-8257,-19387
39,2,-2,1674,8785,-18739
39,2,-1,1762,4968,-21979
39,2,1,1721,-4843,-22957
39,2,2,1594,-8791,-21010
39,3,-2,-955,8994,-19127
39,3,-1,-1083,5141,-22401
39,3,1,-1235,-4941,-23503
39,3,2,-1227,-8982,-21381
39,4,-2,-3755,8705,-18352
39,4,-1,-4142,4983,-21542
39,4,1,-4398,-4917,-22579
39,4,2,-4236,-8737,-20485
39,5,-2,-6598,7706,-16051
39,5,-1,-7282,4421,-18846
39,5,1,-7634,-4496,-19783
39,5,2,-7273,-7903,-17856
39,6,-2,-8960,5335,-12977
39,6,-1,-9600,3371,-13924
39,6,1,-10026,-3699,-14604
39,6,2,-9701,-5322,-14159
42,0,-2,7103,6664,-15165
42,0,-1,7690,4161,-17446
42,0,1,8010,-3592,-18726
42,0,2,7564,-7107,-17147
42,1,-2,4808,7981,-17936
42,1,-1,5137,5119,-20625
42,1,1,5294,-3732,-22325
42,1,2,4976,-8189,-20315
42,2,-2,2139,8797,-19430
42,2,-1,2237,5625,-22403
42,2,1,2231,-3950,-24216
42,2,2,2055,-8809,-22012
42,3,-2,-586,9090,-19785
42,3,-1,-717,5833,-22854
42,3,1,-882,-4042,-24727
42,3,2,-915,-9001,-22442
42,4,-2,-3480,8782,-19050
42,4,-1,-3842,5656,-22030
42,4,1,-4173,-4052,-23830
42,4,2,-4040,-8705,-21626
42,5,-2,-6388,7805,-16725
42,5,-1,-7036,5036,-19394
42,5,1,-7548,-3736,-21028
42,5,2,-7208,-7842,-19062
42,6,-2,-8851,5368,-13845
42,6,-1,-9445,3735,-14652
42,6,1,-10068,-3125,-15800
42,6,2,-9736,-5293,-15275
44,0,-2,5884,7319,-13670
44,0,-1,6291,5310,-15589
44,0,1,6535,-3118,-16949
44,0,2,6170,-5996,-15627
44,1,-2,3811,8535,-16328
44,1,-1,4024,6243,-18565
44,1,1,4098,-3419,-20345
44,1,2,3817,-7044,-18607
44,2,-2,1350,9289,-17826
44,2,-1,1384,6727,-20307
44,2,1,1294,-3720,-22158
44,2,2,1133,-7658,-20216
44,3,-2,-1141,9554,-18220
44,3,-1,-1283,6916,-20726
44,3,1,-1526,-3826,-22631
44,3,2,-1570,-7873,-20589
44,4,-2,-3811,9277,-17481
44,4,-1,-4140,6712,-19956
44,4,1,-4538,-3799,-21724
44,4,2,-4438,-7642,-19682
44,5,-2,-6473,8340,-15265
44,5,-1,-7005,6079,-17402
44,5,1,-7551,-3414,-18958
44,5,2,-7273,-6842,-17071
44,6,-2,-8670,6065,-12344
44,6,-1,-9174,4639,-12945
44,6,1,-9756,-2656,-13888
44,6,2,-9475,-4323,-13428
46,0,-2,6630,8664,-14692
46,0,-1,7150,6415,-16888
46,0,1,7525,-896,-18376
46,0,2,7130,-4535,-16976
46,1,-2,4452,9915,-17277
46,1,-1,4740,7318,-19866
46,1,1,4954,-955,-21757
46,1,2,4661,-5518,-19945
46,2,-2,1887,10709,-18746
46,2,-1,1965,7798,-21589
46,2,1,2012,-1152,-23588
46,2,2,1856,-6115,-21553
46,3,-2,-751,10973,-19107
46,3,-1,-890,7964,-22050
46,3,1,-1011,-1291,-23904
46,3,2,-1030,-6317,-21950
46,4,-2,-3546,10656,-18373
46,4,-1,-3918,7743,-21222
46,4,1,-4208,-1381,-23148
46,4,2,-4075,-6061,-21048
46,5,-2,-6300,9650,-16130
46,5,-1,-6968,7057,-18620
46,5,1,-7450,-1167,-20319
46,5,2,-7110,-5278,-18391
46,6,-2,-8559,7298,-13292
46,6,-1,-9144,5825,-13961
46,6,1,-9770,-694,-15187
46,6,2,-9481,-2748,-14656
